Failure Analysis Date,"Start Date
00:00:00","End Date
00:00:00",Analyzed by,SPOC Single Point of Contact,FWU Error Code,Server Serial No,From Bundle Version,Target Bundle Version,iLO version,Server Model,iSUT version,COM4VC version,"Upgrade type sequence (BMC, SUT, UEFI, Reset, Wait)","Failed Component details(Filename -> Component name -> From version -> To version)",Analysis details,Update Type,"Customer retry suceeded",Defect ID,Next action item,Product,Sub category,Broad Category (FWE-102),Region,Customer Name/Application Customer ID/Workspace ID
10/21/2025,10/18/2025,10/21/2025,Prince,,FWE-102,868703-B21+2M28300389,f7ea5fc475694df5b14494b28cb11262,SPP 2025.09.00.00 (30 Sep 2025),iLO 5 3.15 Aug 11 2025,ProLiant DL380 Gen10,800.6.3.0.13-0,,,HPE Intel Online Firmware Upgrade Utility VMware for HPE ProLia,OS: Microsoft Windows Server 2019 Standard-10.0.17763,Online,No retry,,,,,,ccprodeuc1,"25f7bc66d7e211efb3ed7e2fedd06ab4
	
TFG Asset Management - UK"
10/21/2025,10/19/2025,10/21/2025,Prince,,FWE-102,P19719-B21+CZ21040500,f7ea5fc475694df5b14494b28cb11262,SPP 2025.09.00.00 (30 Sep 2025),iLO 5 v3.14,ProLiant DL380 Gen10,6.0.0,,,Online HDD/SSD Flash Component for Linux (x64)  - EG001800JWJNR,"e1c4fa96-9de7-4725-a261-446b63c6b049
OS: VMware ESXi-8.0.3 Build-24859861 Update 3 Patch 79

Humio logs,
STEP ERROR: Firmware update failed for 1/11 components for device: P19719-B21+CZ21040500 at step 60 ErrorCode:FWE-102 Failed Component List:['firmware-hdd-b1c9eaf74c-HPDB-2.1.x86_64.rpm'] job ID: e1c4fa96-9de7-4725-a261-446b63c6b049

firmware-hdd-b1c9eaf74c-HPDB-2.1.x86_64.rpm got into exception.

bunnyhop_required: {'PLDM': True, 'iLO': False
'PLDM': False, 'iLO': False}

21/10: Check with SPP team if any drivers are required to flash this component - Prince

21/10: Ahs logs received. Case id: 5393028192

21/10: Customer reply:
Hello Team,
I uploaded the AHS logs.
the defect HDD got replaced and the iLO is green again.
Will try the SPP update again ASAP.


22/10: Share AHS with Naresh to verify if it is the same issue with SPP team.

28/10: The component failed to update ""Direct flash failed
	Device Drive 1I:1:6 (HPE Smart Array P408i-a SR Gen10 in Slot 0) of type 4 failed to flash""

Will open a defect with the component team. -HDD

10/29: Raised and mapped defect",Offline,No retry,IRP-24717,,,,,ccprodeuc1,"60eb344e7fc011efad8d66c3222d1974
PBV"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W8,,2025.09.00.00,iLO6 1.70 Aug 11 2025,,,No,,,"Humio logs,",Online,No,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07GC,,,,,,,,,"STEP ERROR: Firmware update failed for 4/4 components for device: P19777-B21+MXQ1220G9Q at step 60 ErrorCode:FWE-102 Failed Component List:['HPE_SR_Gen10_7.81_A.fwpkg', 'SPSGen10_04.01.05.201.fwpkg', 'U32_3.60_08_06_2025.fwpkg', 'firmware-nic-intel-1.34.0-1.1.x86_64.rpm']",,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07GF,,,,,,,,,,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W4,,,,,,,,,All the components got killed.,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07GD,,,,,,,,,,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W7,,,,,,,,,21/10: Get the AHS logs,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W9,,,,,,,,,22/10: Got the AHS log.  Need further analysis.,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W6,,,,,,,,,c9077c0a-699f-4c16-b758-8cc866f65a73,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W2,,,,,,,,,d9cf04e7-f33b-40e8-9b27-c37492c27e01,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W3,,,,,,,,,e3f72cd5-1f1d-4bea-a535-7ae27ff8ef9c,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07W5,,,,,,,,,f7d209d2-609c-41ec-ac45-ac781d364c2e,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/17/2025,10/21/2025,Sowmya,,None,P53921-B21+CZ2D2Z07G8,,,,,,,,,fcc68bfa-a421-4cf0-8eb4-26fcd9767394,,,CCSE-100904,,,,,ccprodeuc1,"b4629140b88611efab4b265dcbc6892b
Hirslanden AG"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-108,P52534-B21+CZ233305L2,,SPP 2025.09.00.00 (30 Sep 2025)',1.71 Oct 08 2025,ProLiant DL380 Gen11,6.2.0,,,,"3347f9ec-a728-44ee-b405-5f2ca4accbe6

2025-10-20T 14:42:51.615Z
Humio logs,
{'URL': 'https://midway.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 2}, {'URL': 'https://midway-emea.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 3}]}}""

Getbundle report is empty.
Install set response has fwpkg and SUT compoents.
All components download failed.

AHS logs,
Informational,1029,11808,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:12,DSE : scsinet_load_firmware_ext API returned error = -9

Informational,1029,11931,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:42,Error downloading component from default Url. err = -9

Informational,1029,11932,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:42,DSE : Failed to copy the component cp066589.exe into NAND, error code returned is -9.

Informational,1029,11938,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:42,DSE : calling msg_BundleUpdateComponentDownloadFailed for InternalError : msgindex = 7 message = cp066589.exe
Informational,1029,11939,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:42,DseTimer: Timer stopped successfully - timerActive=false

Informational,1029,11943,Firmware Flash,DSE Firmware Upgrade Information, , ,10/20/2025 15:21:42,DSE : Component download to NAND failed : stopping bundle update

21/10: Raise a new defect on iLO
21/10: Mapping the existing defect",Online,No,CSFE-84524,,,,,ccprodeuc1,"8b1dd764638b11ee87c8d2b74dc2b1da
CASIC"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-108,P52534-B21+CZ233305L2,,,1.71 Oct 08 2025,,,,,,"509f17e6-a676-48be-8d91-cd1276bc7e85
Same as above",,,CSFE-84524,,,,,ccprodeuc1,"8b1dd764638b11ee87c8d2b74dc2b1da
CASIC"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-108,P52534-B21+CZ233305L2,,,1.71 Oct 08 2025,,,,,,"4a8f4873-0189-4d56-aa58-e1e4100ca4c9
Same as above",,,CSFE-84524,,,,,ccprodeuc1,"8b1dd764638b11ee87c8d2b74dc2b1da
CASIC"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-108,P52534-B21+CZ233305L2,,,1.71 Oct 08 2025,,,,,,"7d52ac90-7b71-49c4-820b-081d56e68ccf
Same as above",,,CSFE-84524,,,,,ccprodeuc1,"8b1dd764638b11ee87c8d2b74dc2b1da
CASIC"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-171,P53933-B21+CZJD1P00GQ,,,iLO6 v1.70,ProLiant DL365 Gen11',5.3.0,No,,,"2a0ac823-a411-43b4-bc5e-ce2ce045e927

Humio logs
 {'URL': 'https://midway.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 3}, {'URL': 'https://midway-emea.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 2}]}}

Getbundle report and install set response - returns no data

No AHS",Online,No,,,,,,ccprodeuc1,"083fcb50533011ef878516ebd1b9a98a
DNEU"
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-171,P53933-B21+CZJD1P00GP,,,iLO6 v1.70,ProLiant DL365 Gen11',5.3.0,No,,,"c5fb86bc-cd51-4a82-a57c-3c68a3a8d507

Humio logs,
[{'URL': 'https://eu-central1-mtls.compute.cloud.hpe.com/api/compute/v1/firmware-installsets/connectivity-test-installset.json', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 3225, 'DownloadTime': 1}, {'URL': 'https://midway.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 2}, {'URL': 'https://midway-emea.ext.hpe.com/depot/volume/pub/computeupdate/test/test_file.txt', 'Status': 'Completed', 'TestType': 'Download', 'FailReason': 'NoError', 'DownloadSize': 9801, 'DownloadTime': 2}]}}""

Getbundle report and install set response - returns no data

No AHS",Online,No,,,,,,ccprodeuc1,"083fcb50533011ef878516ebd1b9a98a
DNEU"
10/21/2025,10/19/2025,10/21/2025,Sowmya,,FWE-171,P52535-B21+SGHD2JK7L3,,,iLO 6 v1.70,ProLiant DL380 Gen11,,No,,,"0e647ac4-462f-4eff-a962-686469b3c2bc

Humio logs,
Exception occurred while executing FirmwareUpdate.New job: 0e647ac4-462f-4eff-a962-686469b3c2bc for resource P52535-B21+SGHD2JK7L3/compute-ops-mgmt/server. StateChangeReason: {'message_id': 'FWE-171', 'message_args': ['8 hours']} Error:: JobErrorException : Timeout reached or user cancelled the job request ",Online,No,,,,,,ccprodane1,"4cc86bae140c11f0b25246c34cfa2917
Softsource Ltd (2023a)"
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-158,P54199-B21+CZJD1F011Q,,2025.09.00.00,iLO6 v1.70,ProLiant DL325 Gen11,6.3.0,,BMC,,"2e8103d6-ebb7-4457-bc5b-3a99059c3b5d

FWU Job was to update iLO6 from 1.70 to 1.71.
Humio: Firmware update task monitor failed with all retries exhausted
It seems iLO downloaded the pkg but never started the update.

[FW-UPDATE-STATS] Component Installation Progress: {'ilo6_171.fwpkg': {'download_end_time': '2025-10-19T21:00:02.829295+00:00', 'is_first_component': True, 'download_start_time': '2025-10-19T20:59:31.579891+00:00', 'installation_end_time': '2025-10-19T21:03:32.933839+00:00', 'installation_start_time': '2025-10-19T21:00:18.412672+00:00', 'component_installation_status': 'InProgress'}} for job_id 2e8103d6-ebb7-4457-bc5b-3a99059c3b5d

No AHS was collected.

<Sagar> Update has strted & the iLO component installation wa in-progress, however iLO got disconnected:

2025-10-19 21:06:54.336 INFO     - - zinc.application_services.socket_service:2090 Device P54199-B21+CZJD1F011Q disconnected and never connected back during the job execution & hence the FWE-158

22/10: Check if the iLO installation went through fine.  We don't have the AHS to verify it.
10/27: Collect AHS - Diego
10/27: Requesting AHS through COM specialist
11/9: Received AHS. iLO is configured in SNP mode with a E810 NIC - I can see the traffic getting disabled between the 2 after updating iLO6 from 1.70 to 1.71. Customer stated a Power drain was needed to fix. No recent kernel changes in iLO kernel to apparently trigger this (last update was on Nov 2024).",Online,,,Incident ,,,,ccprodeuc1,"cbbb6e36120911ee9934cae310968f3d
Cloud86"
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RC,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"0a21b351-86bf-42bc-8a33-23ba11a2ba7d

Known issue with Intel NIC FW - IRP-24282
Installation started: Sun Oct 19 09:27:57 PM UTC 2025

     Installing: CP067476.scexe
        Version: 1.34.0
    Description: Intel Online Firmware Upgrade Utility for Linux x86_64


/usr/lib/x86_64-linux-gnu/firmware-nic-is-intel-1.34.0-1.1/setup: line 318: 15322 Segmentation fault      ./.setup $ARGS[@] $*

IRP-24282",Offline,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RF,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"86cf1085-696f-43eb-b676-e447a611492c
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RD,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"003b6cd7-b9f4-45e8-a707-c026eb130885
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RC,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"dec63ddc-817a-4276-97b9-67458efac4ed
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RD,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"bfb03f59-28ed-4e2e-97df-451ea43f20ec
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RF,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"12dfe8f6-5316-40d0-b3c1-332bcca11361
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RC,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"48b1668a-a9fb-401c-bb5a-dc537f241202
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RB,,2025.09.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"668243bd-b863-472f-96fb-fdca8e53700f
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/19/2025,10/21/2025,Diego,,FWE-102,P52499-B21+CZUD3002RD,,2025.09.00.00,iLO6 v1.71,ProLiant DL360 Gen11,6.3.0,no,SUT,,"c8d5d06e-6af0-4f47-9c85-f98ac436600d
Same as 3116",,,IRP-24282,,,,,ccprodeuc1,8cd196649ee311f09aa0e2e5ccf26f7b
10/21/2025,10/20/2025,10/21/2025,Sowmya,,FWE-102,P72176-B21+SGHD39GR0R,,,,,,,,,a96aac8c-09e3-42b1-bc38-d07ee694259b,,,,,,,,ccprodane1,72a27da6a56611f08c9ade4f0fb50c7e
10/21/2025,10/20/2025,10/21/2025,Diego,,FWE-108,P71682-005+2M2D1J00SS,,,iLO6 v1.67,ProLiant DL20 Gen11,6.3.0,no,SUT,,"08490e92-9987-437c-96cb-dfc3c0479ec6
Caution,586,4007,0x0023,iLO,0x4506,Firmware,10/20/2025 17:46:54,3089: Failed to download the Bundle Update component ""cp067898.exe"" ACTION: Retry Bundle Update after verifying the network settings and location of the component.

iLO was able to download other files. Its just this one in particular.
A network or proxy issue? Critical,586,2498,0x51,SCSINET,0x01,iLO SCSINET Critical Message, ,Engineering, ,10/20/2025 17:38:23,SSL error = 167772454,lib=20,reason=294
Critical,586,2499,0x51,SCSINET,0x01,iLO SCSINET Critical Message, ,Engineering, ,10/20/2025 17:38:23,Line = 1653 LIB string = SSL routines Reason string = unexpected eof while reading
Critical,586,2560,0x51,SCSINET,0x01,iLO SCSINET Critical Message, ,Engineering, ,10/20/2025 17:38:38,SSL error = 167772454,lib=20,reason=294
Critical,586,2561,0x51,SCSINET,0x01,iLO SCSINET Critical Message, ,Engineering, ,10/20/2025 17:38:38,Line = 1653 LIB string = SSL routines Reason string = unexpected eof while reading

However, this component is not publicly released. Morpheus shows it Released but no web deliverable
https://morph.ams.hpecorp.net/app/Editor-Summary.aspx?271644$1#
File is present in RDA and last modified date was 6 Oct 2025 (https://midway-ams.ext.hpe.com/depot/volume/pub/computeupdate/2172ff9f81b9426c8eef76b507eda722/cp067898.exe)

22/10: Defect exists.  Map it 
23/10:EOF issue does not exists
27/10: Diego: Raise defect on iLO
27/10: Raising incident but not defect yet as issue is not identifed CSFE-87512",Online,,,,,,,ccprodusw2,"81889a52df2e11ef8d699253579341b9
Downlite"
10/22/2025,10/21/2025,10/22/2025,Sowmya,,FWE-107,P57844-B21+CZ243306WH,,SPP 2025.07.00.00 (08 Aug 2025)', iLO 6 v1.70 ,ProLiant DL385 Gen11,,No,,,"bd3ebc96-e293-47d2-9d31-7703b42b4bc1

Humio logs,
FirmwareUpdateConnectivityTest': True

Step FirmwareUpdateMonitorStatus]:1399 response received for device {'error': {'code': 'iLO.0.10.ExtendedInfo', 'message': 'See @Message.ExtendedInfo for more information.', '@Message.ExtendedInfo': [{'MessageId': 'iLO.2.34.BundleUpdateInstallSetMetaProcessingFailed', 'MessageArgs': ['installsets/ececa36e-43f7-4dab-', 'InsufficientMemoryToHoldCompone']}]}
 
get bundle report returning no data
No OS information available

No AHS is available, submitted comform

22/10:<Sagar> Send iLO team's recommendation to Customer when NAND is full to clear & reattempt

23/10: Com form submitted",Online,No,,,,,,ccprodeuc1,"fbd622f4f67a11eeaee6fec783280183
smi_system_support@ukw.de"
10/22/2025,10/21/2025,10/22/2025,Sowmya,,FWE-107,P57844-B21+CZ243306WF,,,,,,,,,3af1e9e2-21bb-472b-b907-4acad412c7bd,,,,,,,,ccprodeuc1,"fbd622f4f67a11eeaee6fec783280183
smi_system_support@ukw.de"
10/22/2025,10/21/2025,10/22/2025,Sowmya,,FWE-107,P57844-B21+CZ243306WH,,,,,,,,,9cd9f9a3-0b6b-4f7f-87ef-e38940a52cb5,,,,,,,,ccprodeuc1,"fbd622f4f67a11eeaee6fec783280183
smi_system_support@ukw.de"
10/22/2025,10/21/2025,10/22/2025,Sowmya,,FWE-107,P57844-B21+CZ243306WH,,,,,,,,,57823984-cb0d-4c8d-ab80-a4a843d44bd9,,,,,,,,ccprodeuc1,"fbd622f4f67a11eeaee6fec783280183
smi_system_support@ukw.de"
10/22/2025,10/21/2025,10/22/2025,Sowmya,,FWE-107,P57844-B21+CZ243306WF,,,,,,,,,0aaa9915-d6d7-4d8f-9d2a-8a8bf2729140,,,,,,,,ccprodeuc1,"fbd622f4f67a11eeaee6fec783280183
smi_system_support@ukw.de"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-106,P04647-B21+CN7816067F,5c9d728c047745298cdc2a19b031a4cc,,iLO 5 v3.15,ProLiant DL325 Gen10,,,,,"f711c101-8bd7-4a67-8d2b-67a78e0b107c

Error:: JobException : BundleUpdateInstallSetMetaDownloadFailed as ['installsets/9674d77d-1d95-42bd-', 'Connection failed.']

GetBundleUpdateReport response is empty

AHS log,
2025/10/20 18:40:53 | SCSINET | CCL Connect failed, proxy not configured and proxy cred not set, fd = -2\n

Its iLO5 so connectivity tests are not run

22/10: Send email to check the network connectivity (Internal customer)
22/10: Mail sent",,No,,,,,,ccprodeuc1,"b20095ec930811ec8a5a0e1ef2322750
HPE Internal HPE Sweden demo fredrik.netz@hpe.com"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-106,P04647-B21+CN7816067F,5c9d728c047745298cdc2a19b031a4cc,,iLO 5 v3.15,ProLiant DL325 Gen10,,,,,"157aef62-990e-47c4-9540-2408c33c912c

Error:: JobException : BundleUpdateInstallSetMetaDownloadFailed as ['installsets/886c8272-5b4e-456c-', 'Connection failed.

same behaviour as #3132

",Online,,,,,,,ccprodeuc1,"b20095ec930811ec8a5a0e1ef2322750
HPE Internal HPE Sweden demo fredrik.netz@hpe.com"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-106,P04647-B21+CN7816067F,5c9d728c047745298cdc2a19b031a4cc,,iLO 5 v3.15,ProLiant DL325 Gen10,,,,,"f711c101-8bd7-4a67-8d2b-67a78e0b107c

same behaviour as #3132",Online,,,,,,,ccprodeuc1,"b20095ec930811ec8a5a0e1ef2322750
HPE Internal HPE Sweden demo fredrik.netz@hpe.com"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-106,P53921-B21+CZ2D2V07MG,2172ff9f81b9426c8eef76b507eda722,,iLO 6 v1.71,ProLiant DL385 Gen11,800.6.0.0.37-0,,,,"d9d4162f-616f-4ad8-99bd-dd4d277b0d55

same behaviour as #3132",,,,,,,,ccprodeuc1,"8a6c09605bbd11ee91acaaacd46f98f6
Informationstechnik Graz"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-102,867962-B21+MXQ82505GM,f7ea5fc475694df5b14494b28cb11262,SPP 2025.09.00.00 (30 Sep 2025),iLO 5 v3.15,ProLiant DL360 Gen10,800.5.3.0.4-0,No,RuntimeAgent,Online HDD/SSD Flash Component for VMware ESXi  - EH000900JWHPP,"a1d1bc83-2e2d-426d-8087-87f5b055fe46
OS: VMware ESXi-8.0.0 Build-20842819 Patch 10

Humio logs,
 ca6cc482d4ea387bd81fa28267e2b8db fce17c43cda3f283 enigma.application_services.job_executor:585 Exception occurred while executing FirmwareUpdate.New job: a1d1bc83-2e2d-426d-8087-87f5b055fe46 for resource 867962-B21+MXQ82505GM/compute-ops-mgmt/server. StateChangeReason: {'message_id': 'FWE-102', 'message_args': ['1', '7', 'SPP 2025.09.00.00 (30 Sep 2025)', 'Online HDD/SSD Flash Component for VMware ESXi  - EH000900JWHPP']} Error:: JobErrorException : Firmware update failed for 1/7 components

CP067533.zip went into exception.

AHS log,
2025/10/20 17:31:34 | Firmware Flash | Error downloading component from default Url. err = -9\n

2025/10/20 17:31:34 | Firmware Flash | DSE : Failed to copy the component cp067898.exe into NAND, error code returned is -9.

2025/10/20 17:31:34 | Firmware Flash | DSE : calling msg_BundleUpdateComponentDownloadFailed for InternalError : msgindex = 7 message = cp067898.exe

22/10: Need further analysis.

Critical,3220,46716,Smart Array,Critical System Event,Event Code,0x00,10/21/2025 04:32:56,Event Code: 39, [2025-10-21 04:10:54] Drive failure imminent, Port=1I Box=1 Bay=1 reason=0x37

Critical,3220,47359,SUT,SUT Critical Event, , ,10/21/2025 04:35:47,CP067533_VMw.zip Installation Failed (1b4e28ba-2fa1-11d2-883f-0016d3cca427)

Informational,3220,47372,Firmware Flash,DSE Firmware Upgrade Information, , ,10/21/2025 04:35:50,DSE :By RA: task complete, taskQueue name Online HDD/SSD Flash Component for VMware ESXi  - EH000900JWHPP, Result msg: UpdateFailed

Informational,3220,47373,Firmware Flash,DSE Firmware Upgrade Information, , ,10/21/2025 04:35:50,DSE :Marked task status as exception - taskQueue name: Online HDD/SSD Flash Component for VMware ESXi  - EH000900JWHPP

Informational,3220,47374,Firmware Flash,DSE Firmware Upgrade Information, , ,10/21/2025 04:35:50,DSE : calling msg_BundleUpdateComponentInstallationStatus for Completed : msgindex = 9 message = CP067533.zip

The update for CP067533_VMw.zip(Online HDD/SSD Flash Component for VMware ESXi  - EH000900JWHPP) failed shortly after the drive failure alert.

ahs path: 0aa6f3640bee11ecbf0c4265d3dbef87/867962-B21+MXQ82505GM/2025-10-21_05-13-11_867962-B21+MXQ82505GM_FWUFailure.ahs

29/10: Raise a new defect on Olive.
5/11: Defect raised. IRP-24898",Online,No retry,IRP-24898,IRP-24898,,,,ccprodusw2,"325c453a0bf311ecb4a8aabdef9b464e
	
HPE Internal HPECC_Developers nisha.thomas@hpe.com"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-171,P07246-B21+SGH339M9JX,,,,,,,,,"19c8f54b-a6a6-4fbd-9218-8f20a5241bef

Humio logs,
2025-10-21 10:18:46.174 INFO     9962bc567752957ec0b0db1cf42817a2 f1022e9a17ba73cd enigma.application_services.job_executor:585 Exception occurred while executing FirmwareUpdate.New job: 19c8f54b-a6a6-4fbd-9218-8f20a5241bef for resource P07246-B21+SGH339M9JX/compute-ops-mgmt/server. StateChangeReason: {'message_id': 'FWE-171', 'message_args': ['8 hours']} Error:: JobErrorException : Timeout reached or user cancelled the job request 

Expected behaviour",,,,,,,,ccprodane1,"4cc86bae140c11f0b25246c34cfa2917
Softsource Ltd (2023a)"
10/22/2025,10/21/2025,10/22/2025,Prince,,FWE-171,P07246-B21+SGH139S297,,,,,,,,,"ea1be788-fdc5-4268-a2ec-230486e2d9ac

Humio logs,
2025-10-21 10:18:39.485 INFO     9962bc567752957ec0b0db1cf42817a2 6bf0133f899dc92c enigma.application_services.job_executor:585 Exception occurred while executing FirmwareUpdate.New job: ea1be788-fdc5-4268-a2ec-230486e2d9ac for resource P07246-B21+SGH139S297/compute-ops-mgmt/server. StateChangeReason: {'message_id': 'FWE-171', 'message_args': ['8 hours']} Error:: JobErrorException : Timeout reached or user cancelled the job request 

Expected behaviour",,,,,,,,ccprodane1,"4cc86bae140c11f0b25246c34cfa2917
Softsource Ltd (2023a)"
10/22/2025,10/21/2025,10/22/2025,Prince,,PFWE-000,864625-B21+CZ21320FQW,f7ea5fc475694df5b14494b28cb11262,,,,6.2.0.0,,,,"0a7e57fe-c06e-4935-a967-e4dfb494f95b

Humio logs,
['\\n\\n Unable to update firmware because server device discovery has not completed. Wait 15 minutes and then retry the firmware update. If issue persists, contact support by clicking the help icon in the header and then select Compute Ops Management - Create case (error code: PFWE-000).\\n']

{'DeviceDiscovery': 'Initial', 'AMSDeviceDiscovery': 'NoAMS', 'SmartArrayDiscovery': 'Complete', 'ServerFirmwareInventoryComplete': False}",,,,,,,,ccprodeuc1,"5a0ef46c7f7211ed88b97e71120414d1
Fibia P/S"
